COMPANY NAME,NUMBER OF H1B SPONSORSHIPS 2023,GRADE 2023
Ocbang INC,6,A
Infosys Limited,7753,A
Insightfinder INC,6,A
Shipbob INC,3,A
Sisu Data INC,3,A
Symetra Life Insurance Company,10,A
Varis LLC,13,A
Wyze Labs INC,16,A
NOTE:N/A INDICATES THAT NO H1B SPONSORSHIPS WERE APPLIED FOR TO THE COMPANY FOR THE YEAR 2023,NOTE:N/A INDICATES THAT NO H1B SPONSORSHIPS WERE APPLIED FOR TO THE COMPANY FOR THE YEAR 2023,NOTE:N/A INDICATES THAT NO H1B SPONSORSHIPS WERE APPLIED FOR TO THE COMPANY FOR THE YEAR 2023
No record found,No record found,No record found
